,predict,target
0,0.2754943,9.24
1,0.4790213,9.11
2,0.79370016,9.11
3,1.27898,9.14
4,2.0043592,9.14
5,3.0475638,9.06
6,4.478235,9.06
7,6.195088,9.05
8,7.678681,9.14
9,8.411807,9.11
10,8.528385,9.11
11,8.395081,9.18
12,8.225353,9.27
13,8.099931,9.27
14,8.044506,9.27
15,8.044423,9.05
16,8.047433,9.05
17,8.044415,9.14
18,8.042793,9.06
19,8.035713,6.8
20,8.004181,6.8
21,7.917813,6.42
22,7.825044,6.42
23,7.741954,6.32
24,7.6859155,6.32
25,7.6742444,6.46
26,7.7214165,6.46
27,7.834936,6.68
28,8.012225,6.68
29,8.238976,6.76
30,8.493257,6.83
31,8.750193,8.91
32,8.9857,9.01
33,9.181296,9.52
34,9.327643,9.66
35,9.423712,9.65
36,9.474148,9.65
37,9.486198,9.57
38,9.46731,9.55
39,9.423887,9.45
40,9.360999,9.45
41,9.281357,9.28
42,9.186375,9.19
43,9.076736,9.08
44,8.958315,9.08
45,8.837352,8.81
46,8.720508,8.51
47,8.617337,6.85
48,0.2754943,6.85
49,0.4790213,6.85
50,0.79370016,6.81
51,1.261034,6.74
52,1.9319911,6.76
53,2.8630366,6.72
54,4.1013527,6.72
55,5.6260095,6.7
56,7.1354837,6.69
57,8.136204,6.74
58,8.494125,6.8
59,8.470252,7.05
60,8.317706,7.48
61,8.131445,8.57
62,8.008442,8.91
63,7.9625125,7.22
64,7.9471006,7.22
65,7.932591,6.92
66,7.901269,6.84
67,7.8361135,9.09
68,7.776474,9.01
69,7.697161,6.74
70,7.624197,6.83
71,7.573567,6.74
72,7.5618505,6.74
73,7.6026382,6.67
74,7.7038045,6.67
75,7.86499,6.74
76,8.075661,6.74
77,8.316832,6.72
78,8.565636,6.74
79,8.799462,7.06
80,9.000123,7.36
81,9.156582,9.75
82,9.265371,12.0
83,9.328995,11.95
84,9.353334,12.74
85,9.345246,11.94
86,9.311124,11.43
87,9.256257,11.65
88,9.184366,11.95
89,9.0982485,9.52
90,8.999251,9.52
91,8.887882,9.2
92,8.770669,9.2
93,8.653014,9.01
94,8.540159,8.95
95,8.437734,7.02
96,0.2691053,6.88
97,0.4510849,6.87
98,0.7156082,6.87
99,1.1049576,6.87
100,1.672849,6.87
101,2.4802542,7.01
102,3.589904,7.01
103,5.0136824,7.01
104,6.542336,7.11
105,7.690157,8.8
106,8.181106,8.8
107,8.207267,10.97
108,8.044785,11.06
109,7.9012733,15.1
110,7.812139,15.1
111,7.7499123,10.31
112,7.7289777,12.06
113,7.7340336,9.66
114,7.741069,9.51
115,7.727139,9.17
116,7.6929393,9.17
117,7.632998,9.14
118,7.575532,9.14
119,7.5243382,6.98
120,7.5010743,6.98
121,7.520216,7.2
122,7.593587,7.2
123,7.726454,8.41
124,7.9142447,8.41
125,8.142121,8.98
126,8.389134,8.98
127,8.6320505,9.14
128,8.849901,9.2
129,9.027796,13.17
130,9.158669,13.17
131,9.242584,13.17
132,9.284307,13.17
133,9.290598,10.12
134,9.268216,9.88
135,9.22297,9.92
136,9.159515,10.18
137,9.081527,9.7
138,8.991508,9.37
139,8.890584,9.48
140,8.778743,9.31
141,8.660641,9.09
142,8.541877,9.04
143,8.4292,9.24
144,0.2691053,9.24
145,0.4510849,6.96
146,0.7156082,6.96
147,1.1049576,6.95
148,1.672849,6.95
149,2.502879,6.87
150,3.6838286,6.87
151,5.2214146,6.86
152,6.8301353,6.81
153,7.9172697,6.82
154,8.276617,6.82
155,8.210875,7.53
156,8.011034,8.79
157,7.8612328,9.13
158,7.776976,9.04
159,7.7307286,9.01
160,7.7243943,9.01
161,7.733266,6.99
162,7.735088,6.99
163,7.717548,6.52
164,7.679241,6.42
165,7.6258388,8.0
166,7.5691357,8.0
167,7.5235004,6.13
168,7.5058413,6.13
169,7.5307946,6.13
170,7.6099787,6.32
171,7.748226,6.32
172,7.940043,6.32
173,8.170051,6.38
174,8.416953,6.47
175,8.657668,6.9
176,8.871771,7.09
177,9.045124,9.52
178,9.171384,9.82
179,9.25106,10.07
180,9.289195,10.07
181,9.292579,9.96
182,9.267879,9.96
183,9.220785,9.81
184,9.15537,9.81
185,9.074689,9.47
186,8.980272,9.33
187,8.876402,9.14
188,8.764564,9.14
189,8.64911,8.81
190,8.535316,8.47
191,8.433447,6.83
192,0.2754943,6.83
193,0.46955645,6.84
194,0.7523652,6.84
195,1.1664401,6.77
196,1.7648337,6.77
197,2.607459,6.77
198,3.7533855,6.77
199,5.231791,6.79
200,6.831031,6.76
201,8.030494,6.96
202,8.532296,7.19
203,8.506861,9.33
204,8.290489,9.41
205,8.103785,9.59
206,7.9744983,9.62
207,7.915154,9.27
208,7.9078946,9.28
209,7.9109087,9.19
210,7.900018,9.13
211,7.865964,7.06
212,7.8096633,6.95
213,7.7381554,6.71
214,7.6648264,6.65
215,7.60456,4.48
216,7.574378,4.42
217,7.590612,5.99
218,7.664217,6.3
219,7.7995486,6.11
220,7.9890375,6.32
221,8.220237,6.52
222,8.471843,6.64
223,8.718026,7.08
224,8.937031,7.41
225,9.114199,9.2
226,9.243108,9.27
227,9.324443,9.35
228,9.363493,9.28
229,9.367248,9.17
230,9.342511,9.17
231,9.295068,9.05
232,9.229035,9.05
233,9.147504,8.88
234,9.052001,8.88
235,8.9430685,8.98
236,8.826931,8.98
237,8.709542,7.06
238,8.5976095,6.88
239,8.515276,6.56
240,0.29982764,6.56
241,0.55119777,6.55
242,0.9404215,6.48
243,1.5255543,6.44
244,2.3718739,6.44
245,3.6346393,6.4
246,5.4582667,6.4
247,7.668443,6.43
248,9.316596,6.43
249,9.668654,6.57
250,9.484634,6.57
251,9.270286,7.14
252,9.127316,7.46
253,9.03038,9.08
254,9.040793,9.08
255,9.210737,9.27
256,9.41862,9.34
257,9.641628,13.89
258,9.846014,13.7
259,10.000948,12.46
260,10.092505,12.46
261,10.111356,9.01
262,10.071567,9.01
263,9.8258705,6.48
264,9.485644,6.48
265,9.056246,6.47
266,8.64519,6.47
267,8.328063,6.41
268,8.157207,6.41
269,8.146638,6.54
270,8.270087,6.54
271,8.475947,6.79
272,8.705376,6.84
273,8.911447,9.06
274,9.058286,9.06
275,9.125648,9.06
276,9.107227,9.06
277,9.018238,8.76
278,8.6123905,8.76
279,8.214087,7.46
280,8.074906,7.46
281,8.144812,7.04
282,8.360613,6.79
283,8.651225,6.89
284,8.947745,6.87
285,9.174752,6.75
286,9.284814,6.75
287,9.289619,6.45
288,0.29084203,6.45
289,0.54933435,6.33
290,0.9963556,6.33
291,1.7287402,6.32
292,2.8505464,6.32
293,4.498899,6.34
294,6.6220417,6.34
295,8.439399,6.39
296,9.179426,6.39
297,9.205584,6.52
298,9.051755,6.56
299,8.947349,6.96
300,8.877258,7.2
301,8.817805,7.38
302,8.854279,7.38
303,8.951893,6.92
304,9.057261,6.95
305,9.163922,6.68
306,9.199357,6.6
307,9.187245,6.32
308,9.125578,6.32
309,9.022926,6.32
310,8.872296,6.32
311,8.706536,5.87
312,8.537285,5.32
313,8.402715,6.32
314,8.327289,6.32
315,8.332138,6.43
316,8.331942,6.43
317,8.222689,6.8
318,8.251426,6.8
319,8.401438,7.31
320,8.644641,7.31
321,8.935207,7.33
322,9.2260065,7.33
323,9.486562,7.33
324,9.698485,7.33
325,9.853613,6.95
326,9.951466,6.95
327,10.011241,6.92
328,10.042217,6.73
329,10.048063,6.64
330,10.029536,6.54
331,9.98096,6.65
332,9.899696,6.57
333,9.793619,6.53
334,9.674954,6.53
335,9.550007,6.6
336,0.2691053,6.51
337,0.4510849,6.42
338,0.7156082,6.42
339,1.1049576,6.41
340,1.672849,6.34
341,2.4802542,6.33
342,3.589904,6.33
343,5.0136824,6.33
344,6.542336,6.33
345,7.690157,6.38
346,8.181106,6.38
347,8.262725,6.57
348,8.182226,6.66
349,8.074983,6.74
350,7.977377,6.74
351,7.8956523,6.74
352,7.861411,6.74
353,7.8434854,6.65
354,7.826264,6.65
355,7.7961097,6.47
356,7.740138,6.39
357,7.6677647,5.45
358,7.5950165,4.78
359,7.5413647,4.51
360,7.520079,4.51
361,7.549528,4.57
362,7.6388283,4.57
363,7.7888384,4.67
364,7.9923954,4.81
365,8.231872,6.19
366,8.483835,6.26
367,8.72385,6.34
368,8.931547,6.41
369,9.094693,6.92
370,9.209506,7.16
371,9.278542,7.01
372,9.307792,7.01
373,9.3041725,6.93
374,9.274059,6.93
375,9.22275,6.87
376,9.154458,6.87
377,9.071409,6.72
378,8.974782,6.72
379,8.868863,6.64
380,8.755441,6.64
381,8.638898,6.44
382,8.523194,6.37
383,8.414058,6.38
384,0.2691053,6.29
385,0.4510849,6.32
386,0.7156082,6.19
387,1.1049576,6.3
388,1.672849,6.3
389,2.502879,6.31
390,3.6838286,6.31
391,5.257766,6.33
392,6.976786,6.33
393,8.19984,6.13
394,8.629461,6.3
395,8.581408,6.32
396,8.386725,6.32
397,8.203229,6.4
398,8.084663,6.47
399,8.135668,6.59
400,8.193997,6.67
401,8.27177,6.82
402,8.369022,6.82
403,8.47169,6.8
404,8.560348,6.74
405,8.613618,6.68
406,8.622179,6.68
407,8.5889435,6.57
408,8.518546,6.57
409,8.357702,6.57
410,8.208632,6.57
411,8.16107,6.5
412,8.174695,6.5
413,8.218978,6.5
414,8.114661,6.46
415,8.073295,6.34
416,8.136177,6.34
417,8.289889,6.56
418,8.507131,6.74
419,8.7637205,6.86
