year,month,day,hour,hourSin,hourCos,upper,lower,PVout,price,imbalance,PVout_true,price_true,imbalance_true
2023,1,1,0,0,1,0,0,0,19.207638,21.228489,0,25.02,22.61
2023,1,1,0.5,0.130526192,0.995722431,0,0,0,19.372292,21.409208,0,24.9,22.51
2023,1,1,1,0.258819045,0.982962913,0,0,0,19.645544,21.663315,0,23.66,22.47
2023,1,1,1.5,0.382683432,0.961939766,0,0,0,20.03269,22.013449,0,23.3,22.32
2023,1,1,2,0.5,0.933012702,0,0,0,20.477152,22.305332,0,23.54,22.3
2023,1,1,2.5,0.608761429,0.89667667,0,0,0,20.866743,22.497553,0,22.05,22.35
2023,1,1,3,0.707106781,0.853553391,0,0,0,21.185637,22.534803,0,23,22.41
2023,1,1,3.5,0.79335334,0.804380715,0,0,0,21.199549,22.401121,0,22.05,22.46
2023,1,1,4,0.866025404,0.75,1.6029248,0,0.8014624,19.401592,19.073324,0,22.72,22.11
2023,1,1,4.5,0.923879533,0.691341716,1.6476877,0,0.82384384,19.599276,19.325317,0,21.95,21.84
2023,1,1,5,0.965925826,0.629409523,1.6887733,0,0.84438664,19.52816,19.716513,0,21.86,21.73
2023,1,1,5.5,0.991444861,0.565263096,1.6782684,0,0.8391342,19.556314,20.046162,0,21.79,21.68
2023,1,1,6,1,0.5,1.6654634,0,0.8327317,20.013376,20.805214,0,21.35,21.59
2023,1,1,6.5,0.991444861,0.434736904,1.634978,0,0.817489,20.578806,21.677937,0,21.86,21.84
2023,1,1,7,0.965925826,0.370590477,1.5981019,0,0.7990509,21.13841,22.53698,0,22.97,22.1
2023,1,1,7.5,0.923879533,0.308658284,1.6763916,0,0.8381958,20.696886,22.504557,0.076521249,24.2,22.19
2023,1,1,8,0.866025404,0.25,1.7432404,0,0.8716202,21.17513,23.140993,0.15198325,23,21.69
2023,1,1,8.5,0.79335334,0.195619285,1.6935681,0,0.84678406,21.158968,22.941889,0.324657421,21.35,20.94
2023,1,1,9,0.707106781,0.146446609,1.5485213,0,0.77426064,21.616003,22.747913,0.485293574,17.51,15.21
2023,1,1,9.5,0.608761429,0.10332333,1.4659538,0,0.7329769,21.17811,22.014036,0.594981539,16.96,8.86
