year,month,day,hour,temp,rain,weather,PVout[kW],price[yen/kW30m]
2019,11,9,0,13.3,0,4,0,6.79
2019,11,9,0.5,13.3,0,4,0,6.81
2019,11,9,1,12.7,0,2,0,6.75
2019,11,9,1.5,12.7,0,2,0,6.73
2019,11,9,2,11.7,0,2,0,6.71
2019,11,9,2.5,11.7,0,2,0,6.7
2019,11,9,3,11,0,4,0,6.7
2019,11,9,3.5,11,0,4,0,6.8
2019,11,9,4,10.8,0,4,0,6.86
2019,11,9,4.5,10.8,0,4,0,6.86
2019,11,9,5,10.4,0,4,0,7.1
2019,11,9,5.5,10.4,0,4,0,6.87
2019,11,9,6,10.5,0,4,0,7.09
2019,11,9,6.5,10.5,0,4,-0.016,7.35
2019,11,9,7,10.9,0,2,0.05,6.8
2019,11,9,7.5,10.9,0,2,0.358,6.81
2019,11,9,8,11.7,0,4,0.554,6.73
2019,11,9,8.5,11.7,0,4,0.27,6.73
2019,11,9,9,13.2,0,4,0.908,6.34
2019,11,9,9.5,13.2,0,4,1.062,6.34
2019,11,9,10,13.8,0,4,1.175,6.25
2019,11,9,10.5,13.8,0,4,0.498,6.25
2019,11,9,11,14.7,0,4,1.207,6.14
2019,11,9,11.5,14.7,0,4,1.31,6.14
2019,11,9,12,15.7,0,2,1.245,6.09
2019,11,9,12.5,15.7,0,2,1.18,6.09
2019,11,9,13,16.2,0,2,1.109,6.21
2019,11,9,13.5,16.2,0,2,1.032,6.21
2019,11,9,14,16.7,0,2,0.908,6.63
2019,11,9,14.5,16.7,0,2,0.77,6.63
2019,11,9,15,16.5,0,2,0.596,6.74
2019,11,9,15.5,16.5,0,2,0.407,6.83
2019,11,9,16,15.9,0,2,0.2,9.18
2019,11,9,16.5,15.9,0,2,0.033,9.18
2019,11,9,17,15,0,2,-0.027,9.79
2019,11,9,17.5,15,0,2,0,9.88
2019,11,9,18,14.3,0,2,0,9.88
2019,11,9,18.5,14.3,0,2,0,9.51
2019,11,9,19,13.8,0,2,0,9.51
2019,11,9,19.5,13.8,0,2,0,9.51
2019,11,9,20,13.4,0,2,0,9.35
2019,11,9,20.5,13.4,0,2,0,9.35
2019,11,9,21,13.2,0,4,0,8.99
2019,11,9,21.5,13.2,0,4,0,8.67
2019,11,9,22,13.3,0,4,0,7.4
2019,11,9,22.5,13.3,0,4,0,7.4
2019,11,9,23,13,0,4,0,7.11
2019,11,9,23.5,13,0,4,0,7.11
2019,11,10,0,13.1,0,4,0,6.7
2019,11,10,0.5,13.1,0,4,0,6.7
2019,11,10,1,12.1,0,4,0,6.6
2019,11,10,1.5,12.1,0,4,0,6.53
2019,11,10,2,11.4,0,4,0,6.53
2019,11,10,2.5,11.4,0,4,0,6.62
2019,11,10,3,11.5,0,4,0,6.67
2019,11,10,3.5,11.5,0,4,0,6.67
2019,11,10,4,11.4,0,2,0,6.65
2019,11,10,4.5,11.4,0,2,0,6.69
2019,11,10,5,10.9,0,2,0,6.82
2019,11,10,5.5,10.9,0,2,0,6.82
2019,11,10,6,10.9,0,2,0,6.87
2019,11,10,6.5,10.9,0,2,-0.015,6.87
