,year,month,day,hour,temperature,total precipitation,u-component of wind,v-component of wind,radiation flux,pressure,relative humidity,PVout,price,yearSin,yearCos,monthSin,monthCos,hourSin,hourCos
1,2021,1,1,0.5,-2.6,0,-3.05,3.74E-16,0,1012.05,61,0,19.86,0.000358629,0.999999936,0.5,0.866025404,0.130526192,0.991444861
2,2022,1,1,1,-2.5,0,-3.2,3.92E-16,0,1012.3,60,0,19.84,0.000717259,0.999999743,0.5,0.866025404,0.258819045,0.965925826
3,2022,1,1,1.5,-3.1,0,-2.477685556,-0.36354926,0,1012.4,63,0,19.62,0.001075888,0.999999421,0.5,0.866025404,0.382683432,0.923879533
4,2022,1,1,2,-3.7,0,-1.755371112,-0.727098521,0,1012.5,66,0,17.6,0.001434517,0.999998971,0.5,0.866025404,0.5,0.866025404
5,2022,1,1,2.5,-3.8,0,-2.032534972,-0.841903551,0,1012.2,66,0,17.49,0.001793146,0.999998392,0.5,0.866025404,0.608761429,0.79335334
6,2022,1,1,3,-3.9,0,-2.309698831,-0.956708581,0,1011.9,66,0,17.7,0.002151774,0.999997685,0.5,0.866025404,0.707106781,0.707106781
7,2022,1,1,3.5,-3.6,0,-2.355892808,-0.975842753,0,1011.9,63,0,16.96,0.002510402,0.999996849,0.5,0.866025404,0.79335334,0.608761429
8,2022,1,1,4,-3.3,0,-2.402086785,-0.994976924,0,1011.9,60,0,16.61,0.00286903,0.999995884,0.5,0.866025404,0.866025404,0.5
9,2022,1,1,4.5,-3.05,0,-2.494474738,-1.033245268,0,1012.3,59,0,16.6,0.003227658,0.999994791,0.5,0.866025404,0.923879533,0.382683432
10,2022,1,1,5,-2.8,0,-2.586862691,-1.071513611,0,1012.7,58,0,16.97,0.003586285,0.999993569,0.5,0.866025404,0.965925826,0.258819045
11,2022,1,1,5.5,-2.8,0,-2.389446857,-1.631772317,0,1013,58,0,15,0.003944912,0.999992219,0.5,0.866025404,0.991444861,0.130526192
12,2022,1,1,6,-2.8,0,-2.192031022,-2.192031022,0,1013.3,58,0,15.16,0.004303538,0.99999074,0.5,0.866025404,1,6.13E-17
13,2022,1,1,6.5,-3.1,0,-2.34325288,-1.612638145,0,1013.55,58.5,0,16.61,0.004662164,0.999989132,0.5,0.866025404,0.991444861,-0.130526192
14,2022,1,1,7,-3.4,0,-2.494474738,-1.033245267,0,1013.8,59,0,16.65,0.005020789,0.999987396,0.5,0.866025404,0.965925826,-0.258819045
15,2022,1,1,7.5,-1.95,0,-3.147237369,-0.516622633,38.88888889,1014.2,54,0.085085192,16.66,0.005379414,0.999985531,0.5,0.866025404,0.923879533,-0.382683432
16,2022,1,1,8,-0.5,0,-3.8,4.66E-16,77.77777778,1014.6,49,0.151935666,16.66,0.005738037,0.999983537,0.5,0.866025404,0.866025404,-0.5
